n_qubits,n_layers,n_params,ansatz_type,entangle_pattern,entangler_gate,cost_global,n_entanglers,depth_ratio,grad_mean,grad_var,log_grad_var,samples
2,6,12,1,2,0,1,6,3.0,-0.0010877657019849785,0.08072433871684341,-1.092995503979456,200
2,9,18,0,0,0,0,9,4.5,0.047578482104052376,0.2064500115328125,-0.6851850885285056,200
6,1,6,1,1,0,0,6,0.16666666666666666,-0.0265923286625287,0.505311665583325,-0.29644067555954173,200
2,13,26,1,2,1,0,13,6.5,0.017467011648677207,0.12085370826912531,-0.917740019181773,200
3,20,60,1,1,0,0,60,6.666666666666667,-0.008376011672055907,0.06116431180270874,-1.2135019064167263,200
5,20,100,1,0,1,1,80,4.0,0.001586570328904689,0.015122396350731931,-1.8203793834752282,200
3,10,30,0,0,1,0,20,3.3333333333333335,0.0013698901631615356,0.11216213012127181,-0.9501537514179873,200
8,1,8,0,1,1,1,8,0.125,-0.029889534360419415,0.07903997190194038,-1.1021532228085156,200
2,13,26,0,1,1,0,26,6.5,-0.028241728071874,0.2155741185318999,-0.6664033810246819,200
3,14,42,1,1,1,0,42,4.666666666666667,0.021894503628143422,0.06633591789670198,-1.1782512571078103,200
7,5,35,1,0,0,1,30,0.7142857142857143,1.6164941467475824e-05,0.0030483619746577745,-2.5159334644116367,200
3,13,39,0,1,0,1,39,4.333333333333333,0.03301962701104275,0.1109895797727448,-0.9547177929216819,200
11,1,11,1,2,0,1,55,0.09090909090909091,7.469687100304136e-19,7.687380608159214e-34,-18.0,200
11,2,22,0,2,1,0,110,0.18181818181818182,0.026033964697226714,0.2305555454388084,-0.6372244274479979,200
4,11,44,1,1,0,0,44,2.75,-0.014246835296801947,0.03762379436297551,-1.4245374079401896,200
4,10,40,1,2,0,1,60,2.5,-0.0018934211208053897,0.03346327425370577,-1.475431567236555,200
8,2,16,1,1,1,0,16,0.25,-1.3877787807814458e-18,2.001041212218338e-33,-18.0,200
11,3,33,0,1,0,0,33,0.2727272727272727,0.019799056195024426,0.19324540099987028,-0.7138908329550206,200
6,13,78,0,1,0,0,78,2.1666666666666665,0.010781016550293425,0.02371450816600392,-1.624985878096466,200
4,15,60,0,2,0,0,90,3.75,0.019258212774991214,0.06962489372155706,-1.157235454743551,200
3,10,30,1,0,1,1,20,3.3333333333333335,0.0022601324537439692,0.0559286611041824,-1.252365577275103,200
2,4,8,1,0,0,0,4,2.0,0.04768246349965395,0.4958961776664859,-0.3046092392078834,200
7,13,91,1,2,0,0,273,1.8571428571428572,-0.0028665938918334215,0.006662696858323476,-2.1763499459622846,200
3,1,3,1,2,0,0,3,0.3333333333333333,0.018195370448159512,0.5077081266856005,-0.2943858849576844,200
4,11,44,0,0,1,1,33,2.75,-0.01793286892134891,0.061234352456222975,-1.2130048703937522,200
11,1,11,0,1,0,1,11,0.09090909090909091,0.0004919381045878625,0.0001349342456267788,-3.869877814603311,200
8,5,40,0,1,1,0,40,0.625,0.0056397829943956234,0.0041944914378174965,-2.377320687788436,200
5,3,15,0,2,1,0,30,0.6,0.004750122250978749,0.17439192520561456,-0.7584736278887192,200
9,4,36,0,0,0,1,32,0.4444444444444444,0.0006405516125118454,0.002937581256752842,-2.5320101114874243,200
7,16,112,1,2,1,0,336,2.2857142857142856,0.0022963510480305056,0.003310003364762595,-2.4801715647447993,200
2,20,40,0,2,1,1,20,10.0,-0.055996548901988685,0.20384870915945633,-0.6906920343060119,200
5,13,65,1,0,1,0,52,2.6,-0.01509571347751311,0.020563487417970993,-1.6869032302436924,200
7,1,7,0,2,0,0,21,0.14285714285714285,0.03502353152907027,0.49466322005329516,-0.3056903797545178,200
7,1,7,0,2,1,1,21,0.14285714285714285,1.3400738851920834e-18,3.794592042143654e-33,-18.0,200
10,1,10,1,1,0,0,10,0.1,-7.216449660063518e-18,1.0209277597998962e-32,-18.0,200
2,8,16,1,0,0,0,8,4.0,-0.0013571492150522425,0.13666152422146588,-0.8643537397871915,200
2,7,14,1,2,1,1,7,3.5,-0.014854049156535796,0.1031432572315751,-0.9865591578298001,200
9,13,117,0,1,0,1,117,1.4444444444444444,0.0023947753415233695,0.002479752715309079,-2.605591625517055,200
8,15,120,0,1,1,1,120,1.875,-0.0011626893755765156,0.004679976599893857,-2.329756318413564,200
3,19,57,1,2,0,0,57,6.333333333333333,0.0006886845056886376,0.055657663547411695,-1.2544750288637123,200
7,16,112,0,1,1,0,112,2.2857142857142856,-0.003231875388788411,0.006922343745015855,-2.1597468386077794,200
8,16,128,0,0,0,1,112,2.0,-0.006044842066429707,0.004012611883308585,-2.396572845022932,200
9,17,153,0,1,1,0,153,1.8888888888888888,-0.003957685983527336,0.0018781462858158831,-2.726270584248616,200
7,1,7,1,2,0,1,21,0.14285714285714285,-3.689539992968172e-18,2.1436561729614422e-33,-18.0,200
4,3,12,1,1,0,0,12,0.75,-0.0016037265648605236,0.05224742592181162,-1.2819351011114688,200
4,14,56,0,0,0,0,42,3.5,-0.0030659455397977677,0.10986132316013598,-0.9591551746785297,200
11,1,11,1,1,1,0,11,0.09090909090909091,-5.967448757360216e-18,2.8802474911305554e-33,-18.0,200
2,20,40,0,0,0,1,20,10.0,0.039448054129724824,0.19258271725544646,-0.7153826898873628,200
10,20,200,0,0,1,0,180,2.0,-0.001750058015030551,0.0010496488305238385,-2.978955973763228,200
5,4,20,1,2,1,1,40,0.8,4.336808689942018e-20,5.3246978866259586e-33,-18.0,200
10,7,70,0,1,0,1,70,0.7,0.0002948476226048291,0.0008380895074824882,-3.076709596489206,200
3,19,57,1,1,0,0,57,6.333333333333333,0.014473999596793805,0.05612368265888522,-1.2508538396757696,200
3,7,21,0,2,1,0,21,2.3333333333333335,0.021165799916363283,0.13728600631169574,-0.8623737285413806,200
3,17,51,0,0,0,0,34,5.666666666666667,0.0036299879187200014,0.14394852946795209,-0.8417927673764928,200
